Código;Descripción;Precio;Subrubro;Stock;Marca;Rubro
RGU11354;BOBINA ENC. FIAT BRAVA, BRAVO, MAREA, PALIO, SIENA ( MOTOR TORQUE 1.6I - 16V);$ 82278,19;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
RGU11426;BOBINA ENC. FIAT PALIO 1.0I / 1.3I 16V / SIENA 1.3I 16V (MOTOR FIRE);$ 50688,76;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
RGU11359;BOBINA ENC. FIAT PALIO, PANDA, PUNTO, SIENA, TIPO, UNO ( 1.6 - 16V);$ 28242,55;BOBINAS DE ENCENDIDO;1;REGITAR;BOBINAS
KD8048;BOBINA ENC. FIESTA MAX;$ 42990,69;BOBINAS DE ENCENDIDO;1;CADIC;BOBINAS
RGU11399;BOBINA ENC. FORD ESCORT, VW POINTER, GOL, VERONA (AUTOLATINA),;$ 47996,48;BOBINAS DE ENCENDIDO;3;REGITAR;BOBINAS
RGU11841;BOBINA ENC. FORD EXPLORER V6;$ 94905,52;BOBINAS DE ENCENDIDO;3;REGITAR;BOBINAS
RGU11395;BOBINA ENC. FORD FIESTA, FOCUS, MONDEO, MAZDA 121 1.2I 16V,;$ 59166,82;BOBINAS DE ENCENDIDO;1;REGITAR;BOBINAS
RGU11401;BOBINA ENC. FORD KA, FIESTA, COURRIER (DESDE 1999), MONDEO, ESCORT,;$ 44660,18;BOBINAS DE ENCENDIDO;1;REGITAR;BOBINAS
RGU11455;BOBINA ENC. FORD KA-FIESTA-FOCUS DESDE 2008;$ 57583,13;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
KD8004D;BOBINA ENC. GM AVEO 5 PINES;$ 80249,29;BOBINAS DE ENCENDIDO;15;CADIC;BOBINAS
KD2703;BOBINA ENC. GOL 1.6, 1.0;$ 23214,97;BOBINAS DE ENCENDIDO;1;CADIC;BOBINAS
KD8030M;BOBINA ENC. GOLF 1.6, 1.8, 2.0 ‘01  LINEA NUEVA FOX;$ 70848,65;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
